observedPropertyDeterminandCode,procedureAnalysedMedia,resultUom,resultMeanValue,waterBodyIdentifier,netMigration_2011_2018,droughts_floods_temperature,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
CAS_14797-65-0,water,mg{NO2}/L,0.063310051,FRDR609,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,water,mg{NO2}/L,0.046732851,FRFR238,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,water,{massRatio},132.859,FRFR238,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,water,mg{NO3}/L,11.5783758,FRFR327C,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3151-01-7,water,mmol/L,0.2068,ES014MSPFES-014-NR-038-000-02-02,-40055.25,0.729193518,1.46E+12,49,8,3,14,15,9,0,2,0,16.84
CAS_14797-55-8,water,mg{NO3}/L,2.4777919,ES014MSPFES-014-NR-038-000-02-02,-40055.25,0.729193518,1.46E+12,49,8,3,14,15,9,0,2,0,16.84
CAS_7723-14-0,water,mg{P}/L,0.0133,ES014MSPFES-014-NR-038-000-02-02,-40055.25,0.729193518,1.46E+12,49,8,3,14,15,9,0,2,0,16.84
EEA_3164-08-7,water,{massRatio},165.232,FRGR0220,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,water,%,80.9833,FRGR0220,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,water,{massRatio},86.6594,FRGR0220,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,water,mg{P}/L,0.0591667,FRGR0220,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-03-3,water,mg{N}/L,0.93,FRGR0220,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,water,%,80.175,FRGR0005B,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,water,[pH],7.68919,FRGR0005B,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3163-01-7,water,mg{Si}/L,9.15458,FRGR0004A,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,water,%,81.3,FRGR0167A,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,water,mg{O2}/L,1.0625,FRGR1496,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
CAS_14265-44-2,water,mg{P}/L,0.0385596,FRGR1496,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,water,[pH],7.63017,FRGR0004A,75808.375,0.005717646,2.81E+12,32,10,3,26,20,9,0,0,0,22.26
